,question,answer,category,table_id
0,How many years did Art Carney as actor since 1939?,54 Years,actor,2
1,Who was the spouse of Art Carney in 1970?,Barbara Isaac,actor,2
2,How many total years was Art Carney married to Jean Myers?,28 years,actor,2
3,Which spouse was Art Carney married to the least?,Barbara Isaac,actor,2
4,Who was Art Carney married to when he served in the US Army?,Jean Myers,actor,2
5,How many years before he died was Art Carney married for the last time?,23,actor,2
6,Who was Art Carney married to while he served in the military?,Jean Myers,actor,2
7,How old was Art Carney when he first got divorced?,47,actor,2
8,How many years ago did Art Carney was died?,19 Years ago,actor,2
9,For how many years had Benedict Cumberbatch been acting when he got married?,17,actor,3
10,How many years prior to Cumberbatch turning 45 was the picture taken?,2,actor,3
11,How long after Cumberbatch started his career did he marry Sophie Hunter​?,17 years,actor,3
12,How old was Cumberbatch when his career began?,22,actor,3
13,How old was Benedict Cumberbatch when he started acting?,22,actor,3
14,How many years has Benedict Cumberbatch been acting?,24 years,actor,3
15,For how many years has Benedict Cumberbatch been married?,7,actor,3
16,Who did Benedict Cumberbatch marry in 2015?,Sophie Hunter,actor,3
17,How old was Benedict Cumberbatch when he began acting?,22 years old,actor,3
18,How many different personas has professional wrestler Dwayne Johnson used in the sport?,4,wrestling,7
19,How many years long was Dwayne Johnson's professional wrestling career?,23,wrestling,7
20,When was the last time that Dwayne Johnson competed in the ring professionally?,2019,wrestling,7
21,Who did Dwayne Johnson marry in 1997?,Dany Garcia,wrestling,7
22,How old was Dwayne Johnson when he began his wrestling career?,24 years old,wrestling,7
23,What was the age when Dwayne Johnson as debut as actor?,Age of 27,wrestling,7
24,Who was the spouse of Dwayne Johnson in 2000?,Dany Garcia,wrestling,7
25,How many years did Dwayne Johnson was in wresting career?,23 Years,wrestling,7
26,How many active years did Dwayne Johnson wrestle?,23 years,wrestling,7
27,How many years was Joan Crawford active?,50,actor,8
28,how many years Joan Crawford and Franchot Tone live together?,4,actor,8
29,How many times Joan Crawford have been married?,4,actor,8
30,How many years Joan Crawford is active?,50,actor,8
31,Did Joan Crawford have more children or brothers?,children,actor,8
