,question,answer,category,table_id
0,What was the age when Jenson Button best finish in Super GT GT500 Championship 2018?,Age of 38,f1,0
1,What was Jenson Button's age when he won the Super GT GT500 Championship?,38,f1,0
2,How long did it take Jenson Button to win his second championship?,9 years,f1,0
3,Where did Jenson Button compete 5 years before he debuted in the Super GT GT500 Championship?,Brazil,f1,0
4,For how many years did Jenson Button's professional career last?,17 years,f1,0
5,How old was Jenson Button when he began his professional career?,20,f1,0
6,Which country did Jenson Button participated in Formula One World Championship from 2000?,England,f1,0
7,When did Jenson Button first enter into the Australian Grand Prix?,2000,f1,0
8,How many years ago did Jenson Button last won Brazilian Grand Prix in Formula One World Championship?,10 Years ago (2012),f1,0
9,What time is it in Florida if it's 8:40 in the Atlantic Time Zone?,7:40,time zone,33
10,Which type of time zone was shown in the table?,Atlantic time zone,time zone,33
11,What time is it in the Atlantic Time Zone if it's 10:00 in California?,2:00,time zone,33
12,What is the time difference between the Atlantic Time Zone and Florida?,1 hour,time zone,33
13,What was the current time on 28 june 2022 based on AST?,8.40 AM,time zone,33
14,How much time difference is between AST and ADT?,1 hour,time zone,33
15,How many UTC offset was present?,two,time zone,34
16,What was the time zone specified in the table?,Mountain time zone.,time zone,34
17,What was time difference between MST and MDT?,1 hour,time zone,34
18,What's the difference in time between Florida and Colorado,two hours,time zone,34
19,How many different time zones does the US have,six,time zone,34
20,"If it's 4 p.m. in Los Angeles, California, what time is it in Chicago, Illinois?",6 p.m.,time zone,34
21,What is the time diffrence between NST and NDT?,1 Hour,time zone,35
22,How many hours does NDT is behind Coordinated Universal Time (UTC)?,2.30 hours,time zone,35
23,What is the Current time in Newfoundland Time Zone?,"Sunday, 10 July 2022, 11:26 pm",time zone,35
24,For what senior year team did Pau Quemada begin to play for the year he won the bronze medal at the World Cup?,Leuven,hockey,41
25,Where did the 2009 World Cup take place where Pau Quemada won a bronze medal.,Mönchengladbach,hockey,41
26,How many years has Pau Quemada been playing in his senior career?,17 years,hockey,41
27,What is the most recent team that Pau Quemada has been associated with?,Leuven,hockey,41
28,What team has Pau Quemada been associated with for the longest in the senior division?,Club Egara,hockey,41
29,How many years did the Pau Quemada play in the senior division?,16,hockey,41
30,How many years separate when Pau Quemada first started playing for Leuven and the start of of his present membership on the team?,15,hockey,41
31,How much longer did Pau Quemada play for Club Egara than Laren?,4 years,hockey,41
32,How many years did Pau Quemada play for Real Club de Polo?,2 years,hockey,41
33,How many years between Rubens Barrichello's first and last win in Formula One?,9,f1,51
34,How many years are between Barrichello's best finish in his Stock Car Brasil career and best finish in his IndyCar Series career?,2,f1,51
35,How old was Barrichello when his Formula One career began?,21,f1,51
36,What race did Barrichello win 7 years after his Formula One World Championship career began?,German Grand Prix,f1,51
37,What year did Rubens Barrichello have his best finish in his Stock Car Brasil career?,2014,f1,51
38,How old was Rubens Barrichello win he won his last Grand Prix?,37 years old,f1,51
39,How many years was Rubens Barrichello active in his career?,18 years,f1,51
40,How many years did it take Rubens Barrichello to get a win in Formula One?,7,f1,51
41,How many years were between Barrichello's last win and his last entry into a Grand Prix for Formula One?,2,f1,51
42,How many years did Kapil Dev was played the ODI?,16 years played the ODI,cricket,52
43,How much longer did Kapil Dev play for Haryana than Worcestershire?,6 years,cricket,52
44,How many days were between Dev's Test debut and his ODI debut?,15,cricket,52
45,How many years before Kev's last ODI did he begin playing for Worcestershire?,10,cricket,52
46,What was the first team that Kapil Dev was associated with?,Haryana,cricket,52
47,What team was Kapil Dev associated with for the longest amount of time?,Haryana,cricket,52
48,What team was Kapil Dev associated with the most recently?,Haryana,cricket,52
49,Which domestice team did Kapil Dev was played in 1982?,Kapil Dev,cricket,52
50,Who is the captain of indian cricket test team in 1980?,Kapil Dev,cricket,52
51,How many times did Madan Lal reach 5 wickets in innings in Test and ODI?,four,cricket,53
52,How many more years did Madan Lal spend at Delhi than Punjab?,14,cricket,53
53,"When Madan Lal had their test debut, what team were they associated with?",Delhi,cricket,53
54,What was the first team associated with Madan Lal?,Punjab,cricket,53
55,How much longer did Lal play for Delhi than Punjab?,4,cricket,53
56,How many years are between Madan Lal's last test and his ODI debut?,8,cricket,53
57,What domestic team did Madan Lal play for during his Test debut?,Delhi,cricket,53
58,What was the most recent team associated with Madan Lal?,Delhi,cricket,53
59,How many days after the anniversary of Madan Lal's first test did he have his last test?,13,cricket,53
60,What was the professional team did Shaun Pollock was represented in 2000?,Warwickshire,cricket,54
61,What was the age when Shaun Pollock played his ODI debut in 1996?,Age of 23,cricket,54
62,What was the second team that Shaun Pollock played for?,Warwickshire,cricket,54
63,What was the last team that Shaun Pollock played for?,Durham,cricket,54
64,For how many seasons did Shaun Pollock play for the Dolphins?,2,cricket,54
65,What team did Pollock play for during the year of his T20I debut?,Dolphins,cricket,54
66,How many years longer did Pollock play for KwaZulu-Natal than Warwickshire?,6,cricket,54
67,How old was Pollock during his test debut?,22,cricket,54
68,How years ago did Shaun Pollock  was played his last T20I?,14 Years ago,cricket,54
69,How long was it between Waqar Younis Last Test and his Last ODI?,2 months,cricket,55
70,Which domestice team did Waqar Younis was played in 1992?,Surrey,cricket,55
71,How many years ago did Waqar Younis played his last ODI?,19 Years ago (2003),cricket,55
72,How many total wickets taken by Waqar Younis in his career 1987-2003?,2420 wickets,cricket,55
73,How long after Younis played for Allied Bank Limited was the picture taken?,11 years,cricket,55
74,How many domestic teams did Waqar Younis play for in 1999?,3,cricket,55
75,"Five years after turning pro, where did Waqar Younis play domestically?",Surrey,cricket,55
76,What was the last team Waqar Younis played for before the turn of the Millenium?,REDCO Pakistan Limited,cricket,55
77,How much longer did Younis play for Surrey than Glamorgan?,2 years,cricket,55
78,What was the age when Sanath Jayasuriya played his Test debut in 2007?,Age of 22,cricket,56
79,How many total international matches played by Sanath Jayasuriya in all formats?,666,cricket,56
80,How many years did Marco Sanath Jayasuriya was played for his national team?,22 Years (1989-2011),cricket,56
81,What was the third team that Sanath Jayasuriya played for?,Lancashire,cricket,56
82,What was the first team that Sanath Jayasuriya played for?,Bloomfield,cricket,56
83,For how many years did Sanath Jayasuriya play for Bloomfield?,17,cricket,56
84,How long after his first year playing for Bloomfield did Jayasuriya play for the Khulna Royal Bengals?,18 years,cricket,56
85,What team did Jayasuriya play for during the year of his last test?,Lancashire,cricket,56
86,How old was Jayasuriya when he started playing for Bloomfield?,25,cricket,56
87,How much longer did Richards play for Leeward Islands than Glamorgan?,7 years,cricket,57
88,Which domestice team did Viv Richards was played in 1980?,Somerset,cricket,57
89,How many years did Viv Richards played for west indies?,17 Years,cricket,57
90,How many years ago did Viv Richards first debut in ODI?,47 Years ago,cricket,57
91,When did Viv Richards start playing domestically?,1971,cricket,57
92,What was the last team that Viv Richards was associated with domestically?,Glamorgan,cricket,57
93,For how many years did Viv Richards play domestically?,22,cricket,57
94,How many years between Richard's ODI debut and his last year playing for Somerset?,11,cricket,57
95,What domestic team did Richards play for during his Test debut?,Combined Islands,cricket,57
96,How many more years did Alejandro Valverde spend in Illes Balears–Banesto than Kelme–Costa Blanca?,three,cycling,99
97,How many individual stages did Alejandro Valverde win in the 2010's in the Tour de France?,one,cycling,99
98,What was the year of Alejandro Valverde's first Tour De France victory?,2005,cycling,99
99,How many bronze medals did Alejandro Valverde win from 2000-2009?,two,cycling,99
100,How much longer was Valverde on the Puente Tocinos  team than Illes Balears–Banesto?,4 years,cycling,99
101,What team did Valverde ride for the year he won silver at the Hamilton World Championships?,Kelme–Costa Blanca,cycling,99
102,How many major wins did Valverde have in 2008?,6,cycling,99
103,What professional team did Alejandro Valverde represent during the time before he was on Illes Balears–Banesto?,Kelme–Costa Blanca,cycling,99
104,"After Alejandro Valverde won the 2001 Mediterranean games bronze medal, what year did he win his next medal he won at the world championships?",2005 in Madrid,cycling,99
105,How many times did Felice Gimondi  participated in National Road Race Championships?,2 Times,cycling,100
106,How old was Felice Gimondi when he won a silver medal at the  UCI Road World Championships?,29,cycling,100
107,Which professional team was Felice Gimondi for longer?,Salvarani,cycling,100
108,What was the second professional team that Felice Gimondi was a part of?,Bianchi–Campagnolo,cycling,100
109,When did Felice Gimondi win his first medal in competition?,1970,cycling,100
110,In what city did Felice Gimondi win a medal the same year as his second appearance at the Giro di Lombardia?,Barcelona,cycling,100
111,How many gold medals won by Felice Gimondi in UCI Road World Championships 1973?,One (Gold),cycling,100
112,What professional team did Felice Gimondi ride for during the Tour de Romandie?,Salvarani,cycling,100
